CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0026000000040084RB0F;13/09/2017;1;;E
ES0026000000040084RB0F;13/09/2017;2;;E
ES0026000000040084RB0F;13/09/2017;3;;E
ES0026000000040084RB0F;13/09/2017;4;;E
ES0026000000040084RB0F;13/09/2017;5;;E
ES0026000000040084RB0F;13/09/2017;6;;E
ES0026000000040084RB0F;13/09/2017;7;;E
ES0026000000040084RB0F;13/09/2017;8;;E
ES0026000000040084RB0F;13/09/2017;9;;E
ES0026000000040084RB0F;13/09/2017;10;;E
ES0026000000040084RB0F;13/09/2017;11;;E
ES0026000000040084RB0F;13/09/2017;12;;E
ES0026000000040084RB0F;13/09/2017;13;;E
ES0026000000040084RB0F;13/09/2017;14;;E
ES0026000000040084RB0F;13/09/2017;15;;E
ES0026000000040084RB0F;13/09/2017;16;;E
ES0026000000040084RB0F;13/09/2017;17;;E
ES0026000000040084RB0F;13/09/2017;18;;E
ES0026000000040084RB0F;13/09/2017;19;;E
ES0026000000040084RB0F;13/09/2017;20;;E
ES0026000000040084RB0F;13/09/2017;21;;E
ES0026000000040084RB0F;13/09/2017;22;;E
ES0026000000040084RB0F;13/09/2017;23;;E
ES0026000000040084RB0F;13/09/2017;24;;E
ES0026000000040084RB0F;14/09/2017;1;0,143;R
ES0026000000040084RB0F;14/09/2017;2;0,076;R
ES0026000000040084RB0F;14/09/2017;3;0,095;R
ES0026000000040084RB0F;14/09/2017;4;0,057;R
ES0026000000040084RB0F;14/09/2017;5;0,091;R
ES0026000000040084RB0F;14/09/2017;6;0,047;R
ES0026000000040084RB0F;14/09/2017;7;0,089;R
ES0026000000040084RB0F;14/09/2017;8;0,077;R
ES0026000000040084RB0F;14/09/2017;9;0,261;R
ES0026000000040084RB0F;14/09/2017;10;0,124;R
ES0026000000040084RB0F;14/09/2017;11;0,45;R
ES0026000000040084RB0F;14/09/2017;12;0,305;R
ES0026000000040084RB0F;14/09/2017;13;0,651;R
